"elpd_diff","se_diff","elpd","se_elpd","p","se_p","ic","se_ic","variable","variable.label","criterion","model","best.model","model.label"
-3.580443868,2.839431051,54.87842806,6.120459607,6.526890942,0.9369958,-109.7568561,12.24091921,"clay","Clay (%)","LOO","simple","No","Fixed effects only"
-3.760968141,2.447689715,54.69790379,6.44254138,9.65857207,1.338235179,-109.3958076,12.88508276,"clay","Clay (%)","LOO","strip.random","No","Strip random effects"
0,0,214.8593822,12.48155687,8.388793769,3.26019168,-429.7187644,24.96311374,"ph","pH","WAIC","simple","Yes","Fixed effects only"
-0.679789086,0.328537907,214.1795931,12.44270874,9.472690145,3.330152161,-428.3591863,24.88541748,"ph","pH","WAIC","strip.random","No","Strip random effects"
-1.559142092,0.705595686,213.3002401,12.25767486,11.31340758,3.671683323,-426.6004803,24.51534972,"ph","pH","WAIC","strip.plot.random","No","Strip and plot random effects"
0,0,214.6464744,12.6420985,8.601701551,3.432614119,-429.2929489,25.284197,"ph","pH","LOO","simple","Yes","Fixed effects only"
-0.606209624,0.355636814,214.0402648,12.50477889,9.612018465,3.393632181,-428.0805296,25.00955778,"ph","pH","LOO","strip.random","No","Strip random effects"
-1.704143066,0.708722271,212.9423314,12.44540651,11.67131634,3.866281539,-425.8846628,24.89081302,"ph","pH","LOO","strip.plot.random","No","Strip and plot random effects"
0,0,52.12189997,8.536768587,13.18446583,2.633356944,-104.2437999,17.07353717,"p","P (ppm)","WAIC","strip.plot.random","Yes","Strip and plot random effects"
-0.170892002,2.126013657,51.95100797,8.875404854,7.217580143,1.89906871,-103.9020159,17.75080971,"p","P (ppm)","WAIC","simple","No","Fixed effects only"
-0.889163322,1.428484087,51.23273665,8.601543667,10.07895351,2.333676219,-102.4654733,17.20308733,"p","P (ppm)","WAIC","strip.random","No","Strip random effects"
0,0,51.83581338,8.946661436,7.332774729,1.977796827,-103.6716268,17.89332287,"p","P (ppm)","LOO","simple","Yes","Fixed effects only"
-0.114052617,2.171301914,51.72176076,8.638442198,13.58460504,2.736047851,-103.4435215,17.2768844,"p","P (ppm)","LOO","strip.plot.random","No","Strip and plot random effects"
-0.825999804,1.018776589,51.00981358,8.656523876,10.30187658,2.389081052,-102.0196272,17.31304775,"p","P (ppm)","LOO","strip.random","No","Strip random effects"
0,0,-22.79253243,10.8602771,7.91276782,2.136717024,45.58506486,21.7205542,"k","K (ppm)","WAIC","simple","Yes","Fixed effects only"
-0.622271386,2.766714092,-23.41480382,10.73896544,15.51856328,3.679444089,46.82960763,21.47793089,"k","K (ppm)","WAIC","strip.plot.random","No","Strip and plot random effects"
-0.782292841,0.438642517,-23.57482527,10.98523103,9.505515149,2.401847402,47.14965054,21.97046205,"k","K (ppm)","WAIC","strip.random","No","Strip random effects"
0,0,-22.91338747,10.91141547,8.033622854,2.190524137,45.82677493,21.82283094,"k","K (ppm)","LOO","simple","Yes","Fixed effects only"
-0.857172994,0.482691674,-23.77056046,11.04731229,9.701250337,2.467842714,47.54112092,22.09462457,"k","K (ppm)","LOO","strip.random","No","Strip random effects"
-0.927775031,2.924096046,-23.8411625,10.82874433,15.94492196,3.764639058,47.68232499,21.65748866,"k","K (ppm)","LOO","strip.plot.random","No","Strip and plot random effects"
0,0,71.8909595,14.65185682,16.52155222,5.827655252,-143.781919,29.30371364,"ca","Ca (ppm)","WAIC","strip.plot.random","Yes","Strip and plot random effects"
-4.227270319,3.376714515,67.66368918,12.29223467,11.26923433,3.9372654,-135.3273784,24.58446934,"ca","Ca (ppm)","WAIC","strip.random","No","Strip random effects"
-4.290699018,3.999944276,67.60026048,12.13854227,8.341233227,3.1422074,-135.200521,24.27708455,"ca","Ca (ppm)","WAIC","simple","No","Fixed effects only"
0,0,71.18721136,14.98471601,17.22530035,6.164223287,-142.3744227,29.96943202,"ca","Ca (ppm)","LOO","strip.plot.random","Yes","Strip and plot random effects"
-3.723568488,4.198220195,67.46364288,12.22862664,8.477850831,3.238920739,-134.9272858,24.45725329,"ca","Ca (ppm)","LOO","simple","No","Fixed effects only"
-4.043269916,3.360723657,67.14394145,12.66339007,11.78898206,4.333210704,-134.2878829,25.32678014,"ca","Ca (ppm)","LOO","strip.random","No","Strip random effects"
0,0,44.46382629,18.75471076,11.34220285,6.124615811,-88.92765259,37.50942152,"mg","Mg (ppm)","WAIC","simple","Yes","Fixed effects only"
-0.815364193,0.31781217,43.6484621,18.66903538,12.48890415,6.46306961,-87.2969242,37.33807075,"mg","Mg (ppm)","WAIC","strip.random","No","Strip random effects"
-1.529109451,1.689392773,42.93471684,19.55676392,16.03327119,7.69305226,-85.86943368,39.11352784,"mg","Mg (ppm)","WAIC","strip.plot.random","No","Strip and plot random effects"
0,0,43.70409327,19.38425539,12.10193587,6.796046664,-87.40818655,38.76851077,"mg","Mg (ppm)","LOO","simple","Yes","Fixed effects only"
-0.641953158,0.422411179,43.06214012,19.12410378,13.07522613,6.94513336,-86.12428023,38.24820757,"mg","Mg (ppm)","LOO","strip.random","No","Strip random effects"
-2.475238021,2.275001111,41.22885525,20.93370077,17.73913278,9.128509428,-82.4577105,41.86740155,"mg","Mg (ppm)","LOO","strip.plot.random","No","Strip and plot random effects"
0,0,72.44220321,7.048562983,6.718930238,1.082148116,-144.8844064,14.09712597,"som.percent","SOM (%)","WAIC","simple","Yes","Fixed effects only"
-0.361613937,1.153811324,72.08058928,7.17625862,9.774287585,1.525143792,-144.1611786,14.35251724,"som.percent","SOM (%)","WAIC","strip.random","No","Strip random effects"
-0.750668139,1.604255563,71.69153507,7.228642551,11.49298048,1.758695151,-143.3830701,14.4572851,"som.percent","SOM (%)","WAIC","strip.plot.random","No","Strip and plot random effects"
0,0,72.39041789,7.060013243,6.770715563,1.093938154,-144.7808358,14.12002649,"som.percent","SOM (%)","LOO","simple","Yes","Fixed effects only"
-0.555227601,1.197120192,71.83519029,7.229664476,10.01968658,1.585315835,-143.6703806,14.45932895,"som.percent","SOM (%)","LOO","strip.random","No","Strip random effects"
-1.008207498,1.647119647,71.38221039,7.289491637,11.80230517,1.822109394,-142.7644208,14.57898327,"som.percent","SOM (%)","LOO","strip.plot.random","No","Strip and plot random effects"
0,0,-27.95596174,13.43686405,8.712232861,3.785027335,55.91192347,26.87372809,"no3.n","NO3-N (ppm)","WAIC","simple","Yes","Fixed effects only"
-0.924817668,0.303784436,-28.88077941,13.57042361,9.917522555,4.023042599,57.76155881,27.14084722,"no3.n","NO3-N (ppm)","WAIC","strip.random","No","Strip random effects"
-1.140906544,1.240274222,-29.09686828,13.02805712,13.52612376,4.796072779,58.19373656,26.05611423,"no3.n","NO3-N (ppm)","WAIC","strip.plot.random","No","Strip and plot random effects"
0,0,-28.07622512,13.52402733,8.832496242,3.876746121,56.15245024,27.04805467,"no3.n","NO3-N (ppm)","LOO","simple","Yes","Fixed effects only"
