elpd_diff,se_diff,elpd,se_elpd,p,se_p,ic,se_ic,variable,variable.label,criterion,model,best.model,model.label
0,0,44.49465278,18.70806871,11.27972147,6.065916533,-88.98930556,37.41613742,mg,Mg (ppm),WAIC,simple,Yes,Fixed effects only
-0.919140118,0.300436077,43.57551266,18.72793743,12.56482848,6.522604026,-87.15102532,37.45587486,mg,Mg (ppm),WAIC,strip.random,No,Strip random effects
-1.417498332,1.625752877,43.07715445,19.43040971,15.90758011,7.524945612,-86.15430889,38.86081943,mg,Mg (ppm),WAIC,strip.plot.random,No,Strip and plot random effects
0,0,44.1978006,18.92609655,11.57657365,6.293969527,-88.39560119,37.85219309,mg,Mg (ppm),LOO,simple,Yes,Fixed effects only
-1.094788532,0.349152851,43.10301206,19.07095397,13.03732908,6.882175646,-86.20602413,38.14190795,mg,Mg (ppm),LOO,strip.random,No,Strip random effects
-2.35881561,2.158630048,41.83898499,20.35214493,17.14574957,8.477884297,-83.67796997,40.70428987,mg,Mg (ppm),LOO,strip.plot.random,No,Strip and plot random effects
0,0,72.39204684,7.052939788,6.762145758,1.088638205,-144.7840937,14.10587958,som.percent,SOM (%),WAIC,simple,Yes,Fixed effects only
-0.253730782,1.17082801,72.13831605,7.175345722,9.757300899,1.519680369,-144.2766321,14.35069144,som.percent,SOM (%),WAIC,strip.random,No,Strip random effects
-0.633432502,1.605737819,71.75861433,7.216793333,11.45338541,1.746931907,-143.5172287,14.43358667,som.percent,SOM (%),WAIC,strip.plot.random,No,Strip and plot random effects
0,0,72.33925502,7.065261051,6.814937578,1.101475066,-144.67851,14.1305221,som.percent,SOM (%),LOO,simple,Yes,Fixed effects only
-0.438348479,1.210682472,71.90090654,7.225274011,9.994710416,1.575408994,-143.8018131,14.45054802,som.percent,SOM (%),LOO,strip.random,No,Strip random effects
-0.895496309,1.648130209,71.44375871,7.280331693,11.76824104,1.813310266,-142.8875174,14.56066339,som.percent,SOM (%),LOO,strip.plot.random,No,Strip and plot random effects
0,0,-27.98405667,13.46500422,8.743842561,3.813840245,55.96811334,26.93000844,no3.n,NO3-N (ppm),WAIC,simple,Yes,Fixed effects only
-0.813437839,0.264922974,-28.79749451,13.53093068,9.845761703,3.990944425,57.59498902,27.06186137,no3.n,NO3-N (ppm),WAIC,strip.random,No,Strip random effects
-1.064911817,1.225344419,-29.04896849,13.06181501,13.49109043,4.825398199,58.09793698,26.12363003,no3.n,NO3-N (ppm),WAIC,strip.plot.random,No,Strip and plot random effects
0,0,-28.18930541,13.62773439,8.949091296,3.985841044,56.37861081,27.25546877,no3.n,NO3-N (ppm),LOO,simple,Yes,Fixed effects only
-0.953758164,0.315425254,-29.14306357,13.79381158,10.19133076,4.267437224,58.28612714,27.58762315,no3.n,NO3-N (ppm),LOO,strip.random,No,Strip random effects
-1.370128996,1.200672425,-29.5594344,13.33771047,14.00155635,5.112387889,59.1188688,26.67542094,no3.n,NO3-N (ppm),LOO,strip.plot.random,No,Strip and plot random effects
0,0,-14.69264884,23.18054799,14.0451003,7.562156757,29.38529768,46.36109597,nh4.n,NH4-N (ppm),WAIC,simple,Yes,Fixed effects only
-0.730363286,0.504416491,-15.42301213,23.03182925,15.29052415,7.893931816,30.84602425,46.06365851,nh4.n,NH4-N (ppm),WAIC,strip.random,No,Strip random effects
-1.204215985,0.929928958,-15.89686482,22.60974558,17.48198347,8.601332388,31.79372965,45.21949117,nh4.n,NH4-N (ppm),WAIC,strip.plot.random,No,Strip and plot random effects
0,0,-15.16411897,23.48349032,14.51657044,7.875632575,30.32823795,46.96698064,nh4.n,NH4-N (ppm),LOO,simple,Yes,Fixed effects only
-0.923817678,0.494253359,-16.08793665,23.44856885,15.95544868,8.32032882,32.1758733,46.8971377,nh4.n,NH4-N (ppm),LOO,strip.random,No,Strip random effects
-2.135324332,0.734944813,-17.29944331,23.48357369,18.88456195,9.498975014,34.59888661,46.96714739,nh4.n,NH4-N (ppm),LOO,strip.plot.random,No,Strip and plot random effects
0,0,75.66592546,18.76365009,17.52778278,8.06526793,-151.3318509,37.52730017,cec,CEC (meq/100 g),WAIC,strip.plot.random,Yes,Strip and plot random effects
-1.844847241,3.550027871,73.82107822,16.18289414,9.971184333,5.050552764,-147.6421564,32.36578828,cec,CEC (meq/100 g),WAIC,simple,No,Fixed effects only
-2.039655645,2.606163939,73.62626981,16.69197502,13.25333519,6.229735278,-147.2525396,33.38395003,cec,CEC (meq/100 g),WAIC,strip.random,No,Strip random effects
0,0,74.24117092,19.85153411,18.95253732,9.179164548,-148.4823418,39.70306822,cec,CEC (meq/100 g),LOO,strip.plot.random,Yes,Strip and plot random effects
-0.81532956,4.19596657,73.42584136,16.51721607,10.36642119,5.402750354,-146.8516827,33.03443214,cec,CEC (meq/100 g),LOO,simple,No,Fixed effects only
-1.405902558,3.002840554,72.83526836,17.32317676,14.04433664,6.883545961,-145.6705367,34.64635351,cec,CEC (meq/100 g),LOO,strip.random,No,Strip random effects
0,0,-38.04995189,7.662442636,6.806422712,1.271720824,76.09990378,15.32488527,k.meq,K (meq/100 g),WAIC,simple,Yes,Fixed effects only
-0.947690033,0.368100843,-38.99764192,7.654999449,8.312425798,1.437293822,77.99528385,15.3099989,k.meq,K (meq/100 g),WAIC,strip.random,No,Strip random effects
-1.790565902,1.148475588,-39.84051779,7.431977566,11.53380457,1.929031963,79.68103559,14.86395513,k.meq,K (meq/100 g),WAIC,strip.plot.random,No,Strip and plot random effects
0,0,-38.10372195,7.677440449,6.86019277,1.287058312,76.2074439,15.3548809,k.meq,K (meq/100 g),LOO,simple,Yes,Fixed effects only
-1.015848583,0.376859224,-39.11957053,7.67951653,8.434354406,1.462532942,78.23914107,15.35903306,k.meq,K (meq/100 g),LOO,strip.random,No,Strip random effects
-2.007124767,1.184119802,-40.11084672,7.468794422,11.8041335,1.965006553,80.22169343,14.93758884,k.meq,K (meq/100 g),LOO,strip.plot.random,No,Strip and plot random effects
0,0,71.91573016,14.6963227,16.61743912,5.883696877,-143.8314603,29.39264541,ca.meq,Ca (meq/100 g),WAIC,strip.plot.random,Yes,Strip and plot random effects
-4.051251684,3.434923016,67.86447847,12.26205154,11.15745797,3.893221132,-135.7289569,24.52410309,ca.meq,Ca (meq/100 g),WAIC,strip.random,No,Strip random effects
-4.217533782,4.076600475,67.69819637,12.08830521,8.321224261,3.084660429,-135.3963927,24.17661042,ca.meq,Ca (meq/100 g),WAIC,simple,No,Fixed effects only
0,0,70.96960775,15.27453711,17.56356153,6.479283261,-141.9392155,30.54907421,ca.meq,Ca (meq/100 g),LOO,strip.plot.random,Yes,Strip and plot random effects
-3.443922244,4.444652609,67.5256855,12.20969239,8.493735129,3.216041523,-135.051371,24.41938477,ca.meq,Ca (meq/100 g),LOO,simple,No,Fixed effects only
-3.570840153,3.643696928,67.3987676,12.58651049,11.62316885,4.238750594,-134.7975352,25.17302098,ca.meq,Ca (meq/100 g),LOO,strip.random,No,Strip random effects
0,0,44.11118838,18.4135709,11.14455103,5.864345808,-88.22237675,36.8271418,mg.meq,Mg (meq/100 g),WAIC,simple,Yes,Fixed effects only
-0.858168509,0.309734582,43.25301987,18.39641413,12.411355,6.292295573,-86.50603973,36.79282826,mg.meq,Mg (meq/100 g),WAIC,strip.random,No,Strip random effects
-1.347786605,1.733914438,42.76340177,19.21927688,15.97447702,7.43674428,-85.52680354,38.43855377,mg.meq,Mg (meq/100 g),WAIC,strip.plot.random,No,Strip and plot random effects
0,0,43.74480099,18.69439245,11.51093841,6.161692002,-87.48960199,37.3887849,mg.meq,Mg (meq/100 g),LOO,simple,Yes,Fixed effects only
-1.153382973,0.386417735,42.59141802,18.89453551,13.07295685,6.81886952,-85.18283604,37.78907101,mg.meq,Mg (meq/100 g),LOO,strip.random,No,Strip random effects
-2.840245268,2.713232117,40.90455573,20.69674734,17.83332306,8.976581656,-81.80911145,41.39349469,mg.meq,Mg (meq/100 g),LOO,strip.plot.random,No,Strip and plot random effects
0,0,107.4156278,7.570147004,16.26433017,2.613039508,-214.8312555,15.14029401,tn.percent,TN (%),WAIC,strip.plot.random,Yes,Strip and plot random effects
-10.96873306,5.214388993,96.44689471,8.570689298,12.37224015,2.315688298,-192.8937894,17.1413786,tn.percent,TN (%),WAIC,strip.random,No,Strip random effects
-26.44956979,6.341561625,80.96605798,7.253912924,6.780382491,1.126721442,-161.932116,14.50782585,tn.percent,TN (%),WAIC,simple,No,Fixed effects only
0,0,106.7366197,7.715610656,16.9433382,2.760494159,-213.4732395,15.43122131,tn.percent,TN (%),LOO,strip.plot.random,Yes,Strip and plot random effects
-10.67525124,5.239444028,96.0613685,8.659415589,12.75776636,2.415540475,-192.122737,17.31883118,tn.percent,TN (%),LOO,strip.random,No,Strip random effects
-25.82449771,6.419292138,80.91212203,7.266690703,6.834318436,1.139930975,-161.8242441,14.53338141,tn.percent,TN (%),LOO,simple,No,Fixed effects only
0,0,120.1914261,10.2926815,15.32611626,3.557445727,-240.3828522,20.58536299,tc.percent,TC (%),WAIC,strip.plot.random,Yes,Strip and plot random effects
-1.082439783,1.133494947,119.1089863,10.5358237,13.14997799,3.410449551,-238.2179726,21.07164741,tc.percent,TC (%),WAIC,strip.random,No,Strip random effects
-6.210712368,3.387224178,113.9807137,11.5540708,8.147585673,2.669254422,-227.9614275,23.1081416,tc.percent,TC (%),WAIC,simple,No,Fixed effects only
0,0,119.7045006,10.41733449,15.81304178,3.683052644,-239.4090012,20.83466898,tc.percent,TC (%),LOO,strip.plot.random,Yes,Strip and plot random effects
-0.949717627,1.14115594,118.7547829,10.64241053,13.50418135,3.52142213,-237.5095659,21.28482107,tc.percent,TC (%),LOO,strip.random,No,Strip random effects
-5.872898098,3.423520181,113.8316025,11.64344893,8.296696924,2.766993668,-227.663205,23.28689786,tc.percent,TC (%),LOO,simple,No,Fixed effects only
0,0,86.16866789,10.07067389,15.4979027,3.482088668,-172.3373358,20.14134778,toc.percent,SOC (%),WAIC,strip.plot.random,Yes,Strip and plot random effects
-5.760421799,3.037409946,80.4082461,11.51134412,10.99642251,3.271747124,-160.8164922,23.02268825,toc.percent,SOC (%),WAIC,strip.random,No,Strip random effects
-5.882070708,3.205885688,80.28659719,11.29918192,8.08155017,2.444446463,-160.5731944,22.59836383,toc.percent,SOC (%),WAIC,simple,No,Fixed effects only
0,0,85.55151673,10.26041759,16.11505386,3.675450738,-171.1030335,20.52083519,toc.percent,SOC (%),LOO,strip.plot.random,Yes,Strip and plot random effects
-5.370244445,3.19460843,80.18127228,11.34738192,8.186875072,2.494341758,-160.3625446,22.69476384,toc.percent,SOC (%),LOO,simple,No,Fixed effects only
-5.443229057,3.050981439,80.10828767,11.65026519,11.29638093,3.408245941,-160.2165753,23.30053039,toc.percent,SOC (%),LOO,strip.random,No,Strip random effects
