"model","model.label","variable","variable.label","variable.mean","treatment","full.treatment.name","posterior.mean","X5","X95","X25","X75"
"strip.random","Strip random effects","bulk.cn.ratio","C:N Ratio",16.69744444,"D","Acorn",17.33553871,13.79706738,22.05210555,15.81814331,18.86699041
"strip.random","Strip random effects","bulk.cn.ratio","C:N Ratio",16.69744444,"E","Seedbank",20.91165306,16.9134995,26.05762079,19.26633519,22.64947686
"strip.random","Strip random effects","bulk.cn.ratio","C:N Ratio",16.69744444,"R","Reference",26.90110654,20.17375788,35.67053555,24.2995287,30.0435687
"strip.plot.random","Strip and plot random effects","bulk.cn.ratio","C:N Ratio",16.69744444,"A","Balled-and-burlapped",14.11896869,12.07793889,16.54072353,13.35848963,15.01913425
"strip.plot.random","Strip and plot random effects","bulk.cn.ratio","C:N Ratio",16.69744444,"B","Bareroot",16.3921154,13.28489434,20.21618172,15.16079336,17.7212411
"strip.plot.random","Strip and plot random effects","bulk.cn.ratio","C:N Ratio",16.69744444,"C","Seedling",19.7598496,16.0320848,24.20183206,18.28959254,21.38583763
"strip.plot.random","Strip and plot random effects","bulk.cn.ratio","C:N Ratio",16.69744444,"D","Acorn",17.3128451,13.80432187,21.46976491,15.88581877,18.70625255
"strip.plot.random","Strip and plot random effects","bulk.cn.ratio","C:N Ratio",16.69744444,"E","Seedbank",20.89770205,16.88612696,25.50891108,19.33091394,22.55056563
"strip.plot.random","Strip and plot random effects","bulk.cn.ratio","C:N Ratio",16.69744444,"R","Reference",26.89761796,20.7601721,34.51298676,24.60594401,29.58560289
"simple","Fixed effects only","toc.percent","SOC (%)",3.62255555555556,"A","Balled-and-burlapped",3.20770904222695,3.06933484937941,3.35502933766405,3.15386864101191,3.2693859214512
"simple","Fixed effects only","toc.percent","SOC (%)",3.62255555555556,"B","Bareroot",3.88807415599417,3.66282735182695,4.13508034826179,3.80025566873002,3.99346682979861
"simple","Fixed effects only","toc.percent","SOC (%)",3.62255555555556,"C","Seedling",3.91069899669954,3.68361646374945,4.15808617628628,3.81580985322187,4.00891675927538
"simple","Fixed effects only","toc.percent","SOC (%)",3.62255555555556,"D","Acorn",4.47681666814579,4.22342000041608,4.73693580124893,4.37957296646959,4.58752242347325
"simple","Fixed effects only","toc.percent","SOC (%)",3.62255555555556,"E","Seedbank",4.70971289106047,4.45460679821928,4.98146798370822,4.60129339771247,4.81776572598559
"simple","Fixed effects only","toc.percent","SOC (%)",3.62255555555556,"R","Reference",3.916715596826,3.69026817694261,4.16766203499519,3.82761146480258,4.02133699614103
