"model","model.label","variable","variable.label","variable.mean","treatment","full.treatment.name","posterior.mean","5","95","25","75"
"simple","Fixed effects only","herbaceous.litter.c.stock","Herbaceous litter",1.95907698518519,"E","Seedbank",2.51608455698835,1.66025211127011,3.8801587740455,2.33458371018899,3.20745560231041
"simple","Fixed effects only","herbaceous.litter.c.stock","Herbaceous litter",1.95907698518519,"R","Reference",1.07773961350888,0.495039506486896,2.36920430390452,0.956532972076324,1.74175162255427
"strip.random","Strip random effects","herbaceous.litter.c.stock","Herbaceous litter",1.95907698518519,"A","Balled-and-burlapped",1.8025268513235,0.913255981975542,3.46604161429549,1.43037775726224,2.37930483704683
"strip.random","Strip random effects","herbaceous.litter.c.stock","Herbaceous litter",1.95907698518519,"B","Bareroot",1.72692813477219,0.955451710178444,3.08871959128897,1.43830364218301,2.25148611098723
"strip.random","Strip random effects","herbaceous.litter.c.stock","Herbaceous litter",1.95907698518519,"C","Seedling",1.67080251835199,0.90118488149407,2.97622650875135,1.3835163649155,2.18185113598736
"strip.random","Strip random effects","herbaceous.litter.c.stock","Herbaceous litter",1.95907698518519,"D","Acorn",1.71117865203069,0.880339999020059,3.32651492851571,1.37150828484051,2.28878435607883
"strip.random","Strip random effects","herbaceous.litter.c.stock","Herbaceous litter",1.95907698518519,"E","Seedbank",2.33061970605676,1.32819495046896,4.02687504894227,1.96283991218404,3.0067163874926
"strip.random","Strip random effects","herbaceous.litter.c.stock","Herbaceous litter",1.95907698518519,"R","Reference",1.2853813061724,0.528056936329064,3.01747892033596,0.932061353974372,1.8304602567714
"simple","Fixed effects only","mixed.biomass.c.stock","Mixed biomass",0.273706241975309,"A","Balled-and-burlapped",0.159304536912255,0.0621936134310578,0.416302608197019,0.134536257029598,0.284501867403041
"simple","Fixed effects only","mixed.biomass.c.stock","Mixed biomass",0.273706241975309,"B","Bareroot",0.231369132206924,0.103283259070806,0.52480564059442,0.206282793226611,0.382011817307493
"simple","Fixed effects only","mixed.biomass.c.stock","Mixed biomass",0.273706241975309,"C","Seedling",0.150126996080291,0.0586457655399907,0.402377756477288,0.126267090275275,0.271427055758764
"simple","Fixed effects only","mixed.biomass.c.stock","Mixed biomass",0.273706241975309,"D","Acorn",0.190232833188478,0.0773115392265149,0.45880198298394,0.166207759608914,0.330086902832351
"simple","Fixed effects only","mixed.biomass.c.stock","Mixed biomass",0.273706241975309,"E","Seedbank",0.134419319784153,0.0503398572184415,0.364939169462686,0.111279601817155,0.245630903619062
"simple","Fixed effects only","mixed.biomass.c.stock","Mixed biomass",0.273706241975309,"R","Reference",0.552346506673494,0.366262453866543,0.85474945213881,0.516283957503094,0.706162128252038
"strip.random","Strip random effects","mixed.biomass.c.stock","Mixed biomass",0.273706241975309,"A","Balled-and-burlapped",0.163262778956456,0.0514536835228475,0.508016880101594,0.112541124592567,0.277301127845984
"strip.random","Strip random effects","mixed.biomass.c.stock","Mixed biomass",0.273706241975309,"B","Bareroot",0.216635402223594,0.0819239457090051,0.568439074750835,0.164609020892227,0.352235912107855
