"variable","variable.label","model","model.label","treatment","full.treatment.name","Rhat"
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","simple","Fixed effects only","R","Reference",1.0001588652794
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","strip.random","Strip random effects","A","Balled-and-burlapped",1.0003587129309
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","strip.random","Strip random effects","B","Bareroot",1.00021448601072
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","strip.random","Strip random effects","C","Seedling",1.00023895788098
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","strip.random","Strip random effects","D","Acorn",1.00012794472876
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","strip.random","Strip random effects","E","Seedbank",1.00008284535802
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","strip.random","Strip random effects","R","Reference",1.00007892313904
"total.fwd.carbon","Fine woody debris (< 7.6 cm)","simple","Fixed effects only","A","Balled-and-burlapped",1.0002541093666
"total.fwd.carbon","Fine woody debris (< 7.6 cm)","simple","Fixed effects only","B","Bareroot",1.00018083842117
"total.fwd.carbon","Fine woody debris (< 7.6 cm)","simple","Fixed effects only","C","Seedling",1.00031964524146
"total.fwd.carbon","Fine woody debris (< 7.6 cm)","simple","Fixed effects only","D","Acorn",1.0002931492613
"total.fwd.carbon","Fine woody debris (< 7.6 cm)","simple","Fixed effects only","E","Seedbank",1.00021202300979
"total.fwd.carbon","Fine woody debris (< 7.6 cm)","simple","Fixed effects only","R","Reference",1.000245588122
"total.fwd.carbon","Fine woody debris (< 7.6 cm)","strip.random","Strip random effects","A","Balled-and-burlapped",1.00029722495231
"total.fwd.carbon","Fine woody debris (< 7.6 cm)","strip.random","Strip random effects","B","Bareroot",1.00020521587668
"total.fwd.carbon","Fine woody debris (< 7.6 cm)","strip.random","Strip random effects","C","Seedling",1.00018083174632
"total.fwd.carbon","Fine woody debris (< 7.6 cm)","strip.random","Strip random effects","D","Acorn",1.00005438143186
"total.fwd.carbon","Fine woody debris (< 7.6 cm)","strip.random","Strip random effects","E","Seedbank",1.00014945209165
"total.fwd.carbon","Fine woody debris (< 7.6 cm)","strip.random","Strip random effects","R","Reference",1.00015425071967
"total.cwd.carbon","Coarse woody debris (>= 7.6 cm)","simple","Fixed effects only","A","Balled-and-burlapped",1.00083006729979
"total.cwd.carbon","Coarse woody debris (>= 7.6 cm)","simple","Fixed effects only","B","Bareroot",1.00042245908104
"total.cwd.carbon","Coarse woody debris (>= 7.6 cm)","simple","Fixed effects only","C","Seedling",1.00049345517677
"total.cwd.carbon","Coarse woody debris (>= 7.6 cm)","simple","Fixed effects only","D","Acorn",1.00038122137782
"total.cwd.carbon","Coarse woody debris (>= 7.6 cm)","simple","Fixed effects only","E","Seedbank",1.00019581503525
"total.cwd.carbon","Coarse woody debris (>= 7.6 cm)","simple","Fixed effects only","R","Reference",1.00057959196359
"total.cwd.carbon","Coarse woody debris (>= 7.6 cm)","strip.random","Strip random effects","A","Balled-and-burlapped",1.00043627387029
"total.cwd.carbon","Coarse woody debris (>= 7.6 cm)","strip.random","Strip random effects","B","Bareroot",1.00028208046106
"total.cwd.carbon","Coarse woody debris (>= 7.6 cm)","strip.random","Strip random effects","C","Seedling",1.00005432116303
"total.cwd.carbon","Coarse woody debris (>= 7.6 cm)","strip.random","Strip random effects","D","Acorn",1.00031182515554
"total.cwd.carbon","Coarse woody debris (>= 7.6 cm)","strip.random","Strip random effects","E","Seedbank",1.00013669084708
"total.cwd.carbon","Coarse woody debris (>= 7.6 cm)","strip.random","Strip random effects","R","Reference",1.00028865346247
"total.snag.carbon","Standing dead trees","simple","Fixed effects only","A","Balled-and-burlapped",1.00031876877513
"total.snag.carbon","Standing dead trees","simple","Fixed effects only","B","Bareroot",1.00046703831768
"total.snag.carbon","Standing dead trees","simple","Fixed effects only","C","Seedling",1.00038515108234
"total.snag.carbon","Standing dead trees","simple","Fixed effects only","D","Acorn",1.00021784530903
"total.snag.carbon","Standing dead trees","simple","Fixed effects only","E","Seedbank",1.00038910236505
"total.snag.carbon","Standing dead trees","simple","Fixed effects only","R","Reference",1.00032606968512
"total.snag.carbon","Standing dead trees","strip.random","Strip random effects","A","Balled-and-burlapped",1.00054273753701
"total.snag.carbon","Standing dead trees","strip.random","Strip random effects","B","Bareroot",1.00024369044416
"total.snag.carbon","Standing dead trees","strip.random","Strip random effects","C","Seedling",1.00014729079038
"total.snag.carbon","Standing dead trees","strip.random","Strip random effects","D","Acorn",1.00045164373392
"total.snag.carbon","Standing dead trees","strip.random","Strip random effects","E","Seedbank",1.00044611595709
"total.snag.carbon","Standing dead trees","strip.random","Strip random effects","R","Reference",1.00040624828413
"snag.frax.live.carbon","Live F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","A","Balled-and-burlapped",1.00034501659807
"snag.frax.live.carbon","Live F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","B","Bareroot",1.00026636367452
