model,model.label,variable,variable.label,variable.mean,treatment,full.treatment.name,posterior.mean,5,95,25,75
strip.random,Strip random effects,herbaceous.litter.c.stock,Herbaceous litter,1.959076985,E,Seedbank,0.28328965,-0.430565485,1.027375135,0.036459357,0.608477646
strip.random,Strip random effects,herbaceous.litter.c.stock,Herbaceous litter,1.959076985,R,Reference,-0.344111299,-1.300276962,0.594239903,-0.710343724,0.031348734
simple,Fixed effects only,mixed.biomass.c.stock,Mixed biomass,0.273706242,A,Balled-and-burlapped,-0.502729573,-1.226227174,0.252320883,-0.706223022,-0.110950853
simple,Fixed effects only,mixed.biomass.c.stock,Mixed biomass,0.273706242,B,Bareroot,0.127582398,-0.985809232,1.265594396,-0.201190975,0.654573963
simple,Fixed effects only,mixed.biomass.c.stock,Mixed biomass,0.273706242,C,Seedling,-0.338416468,-1.540912456,0.851175209,-0.720967316,0.222050361
simple,Fixed effects only,mixed.biomass.c.stock,Mixed biomass,0.273706242,D,Acorn,-0.086537819,-1.218269423,1.112055697,-0.416338613,0.485247137
simple,Fixed effects only,mixed.biomass.c.stock,Mixed biomass,0.273706242,E,Seedbank,-0.452351232,-1.666442971,0.74681839,-0.805540221,0.15683975
simple,Fixed effects only,mixed.biomass.c.stock,Mixed biomass,0.273706242,R,Reference,1.133557248,0.339719593,2.031269474,0.740269636,1.40182604
strip.random,Strip random effects,mixed.biomass.c.stock,Mixed biomass,0.273706242,A,Balled-and-burlapped,-0.88740633,-1.979135683,0.272725989,-1.104676506,-0.259800594
strip.random,Strip random effects,mixed.biomass.c.stock,Mixed biomass,0.273706242,B,Bareroot,0.168752188,-1.046081449,1.3844016,-0.260648258,0.708127645
strip.random,Strip random effects,mixed.biomass.c.stock,Mixed biomass,0.273706242,C,Seedling,-0.320408245,-1.612641586,0.990208322,-0.796447301,0.240280993
strip.random,Strip random effects,mixed.biomass.c.stock,Mixed biomass,0.273706242,D,Acorn,0.173910023,-1.144846908,1.403367354,-0.269374147,0.743371058
strip.random,Strip random effects,mixed.biomass.c.stock,Mixed biomass,0.273706242,E,Seedbank,-0.454283987,-1.755720934,0.884102,-0.981142437,0.073084157
strip.random,Strip random effects,mixed.biomass.c.stock,Mixed biomass,0.273706242,R,Reference,0.705998636,-0.640162463,2.026908731,0.25471815,1.317442512
simple,Fixed effects only,p.arundinacea.c.stock,P. arundinacea biomass,0.16833599,A,Balled-and-burlapped,-0.744234316,-1.703764971,0.364361368,-0.960052562,-0.156721994
